row_class,col1_text,col1_class,col1_style,col2_text,col2_class,col2_style,col3_text,col3_class,col3_style,col4_text,col4_class,col4_style
depth-0,,,,ausschließlich Infoscreen,,padding-left:0px,,,,MediaObject,,
depth-0,,,,Autor*in,,padding-left:0px,,,,,,
depth-0 topcat,,,,Blog-Artikel,,padding-left:0px,,,,BlogPosting,,
depth-1,,,,Genießer,,padding-left:12px,,,,BlogPosting,,
depth-1,,,,Groß & Klein,,padding-left:12px,,,,BlogPosting,,
depth-1,,,,Im Fokus,,padding-left:12px,,,,BlogPosting,,
depth-1,,,,Kulturfans,,padding-left:12px,,,,BlogPosting,,
depth-1,,,,Land & Leute,,padding-left:12px,,,,BlogPosting,,
depth-1,,,,Mountainbiken,,padding-left:12px,,,,BlogPosting,,
depth-1,,,,Radfahren,,padding-left:12px,,,,BlogPosting,,
depth-1,,,,Sachsens Regionen,,padding-left:12px,,,,BlogPosting,,
depth-1,,,,Sachsens Städte,,padding-left:12px,,,,BlogPosting,,
depth-1,,,,Sommersaison,,padding-left:12px,,,,BlogPosting,,
depth-1,,,,Top Highlight,,padding-left:12px,,,,BlogPosting,,
depth-1,,,,Wandern,,padding-left:12px,,,,BlogPosting,,
depth-1,,,,Weihnachten,,padding-left:12px,,,,BlogPosting,,
depth-1,,,,Wintersaison,,padding-left:12px,,,,BlogPosting,,
depth-0,,,,Branchenkompetenzen,new,padding-left:0px,,,,,,
depth-0,,,,Branchen News,new,padding-left:0px,,,,,,
depth-0,,,,Daten & Zahlen,new,padding-left:0px,,,,,,
depth-0,,,,Dresden Convention Service,new,padding-left:0px,,,,,,
depth-0,,,,Infoscreen,,padding-left:0px,,,,MediaObject,,
depth-0,,,,Karten,,padding-left:0px,,,,MediaObject,,
depth-0,,,,Nachhaltigkeit,new,padding-left:0px,,,,,,
depth-0,,,,Push,,padding-left:0px,,,,MediaObject,,
depth-0,,,,Radkarte,,padding-left:0px,,,,MediaObject,,
depth-0,,,,Rezepte,new,padding-left:0px,,,,,,
depth-0,,,,Rahmenprogramm,new,padding-left:0px,,,,,,
depth-0,,,,Redaktioneller Artikel,,padding-left:0px,,,,Article,,
depth-0,,,,Standort,new,padding-left:0px,,,,,,
depth-0,,,,Standort News,new,padding-left:0px,,,,,,
depth-0,,,,Trends,new,padding-left:0px,,,,,,
depth-0,,,,TYPO3-Page,,padding-left:0px,,,,,,
depth-0,,,,TYPO3-Story,,padding-left:0px,,,,,,
depth-0,,,,Veranstaltung News,new,padding-left:0px,,,,,,
depth-0,,,,Vollbild-Video,,padding-left:0px,,,,MediaObject,,
depth-0,,,,Wanderkarte,,padding-left:0px,,,,MediaObject,,
depth-0,,,,Willkommensseite,,padding-left:0px,,,,MediaObject,,
depth-0,,,,Wissenschaft & Wirtschaft,new,padding-left:0px,,,,,,
depth-0,,,,Wissenswertes,new,padding-left:0px,,,,,,
depth-0,,,,360° Panorama,,padding-left:0px,,,,MediaObject,,
