row_class,col1_text,col1_class,col1_style,col2_text,col2_class,col2_style,col3_text,col3_class,col3_style,col4_text,col4_class,col4_style
depth-0,Exkursion,,,Ausflugsfahrt,,padding-left:0px,Excursion,,,https://odta.io/voc/Excursion,,
depth-0,Ausstellung,,,Ausstellung,,padding-left:0px,TemporaryExhibiton,,,https://odta.io/voc/TemporaryExhibition,,
depth-0,,,,Ball,new,padding-left:0px,Ballett,,,https://odta.io/voc/Ballet,,
depth-0,Ballett,,,Ballett,new,padding-left:0px,Ballett,,,https://odta.io/voc/Ballet,,
depth-0,,,,Bergparade,,padding-left:0px,HistoricalParade,,,https://odta.io/voc/HistoricalParade,,
depth-0,,,,Bühne/Theater,,padding-left:0px,MusicalTheater,,,https://odta.io/voc/Theater,,
depth-0,,,,Bürgerangebot,,padding-left:0px,,,,Event,,
depth-0,Diskussion,,,Diskussion,new,padding-left:0px,Conference,,,Event,,
depth-0,Kinderprogramm,,,Familie/Kinder,,padding-left:0px,,,,Event,,
depth-0,,,,Ferientipp,,padding-left:0px,,,,Event,,
depth-0,Fest,,,Fest,,padding-left:0px,,,,Event,,
depth-0,,,,Fest & Feiertag,new,padding-left:0px,,,,Event,,
depth-0,Festival,,,Festival,,padding-left:0px,,,,Event,,
depth-0,,,,Flohmarkt,,padding-left:0px,FleaMarket,,,https://odta.io/voc/FleaMarket,,
depth-0,,,,Frühling,new,padding-left:0px,,,,Event,,
depth-0,Führung; Museumsführung; Stadtführung; Tag der offenen Tür,,,Führung/Besichtigung,,padding-left:0px,,,,Event,,
depth-0,,,,Geselligkeit/Spiele/Treffen,,padding-left:0px,,,,Event,,
depth-0,,,,Herbst,new,padding-left:0px,,,,Event,,
depth-0,Film  Kino,,,Kino/Film,,padding-left:0px,CinemaEvent,,,https://odta.io/voc/FilmEvent,,
depth-0,,,,Kirchenveranstaltung/Religion,,padding-left:0px,,,,Church,,
depth-0,,,,Kulinarik,,padding-left:0px,CookingClass,,,FoodEvent,,
depth-0,"Kleinkunst, Comedy  Kabarett; Tradition, Brauchtum & Kultur",,,Kunst und Kultur,,padding-left:0px,Culture,,,Event,,
