row_class,col1_text,col1_class,col1_style,col2_text,col2_class,col2_style,col3_text,col3_class,col3_style,col4_text,col4_class,col4_style
depth-0,Alpe bewirtschaftet,,,Alpe (bewirtschaftet),,padding-left:0px,AlmOrHut,,,https://odta.io/voc/AlmOrHut,,
depth-0,Ausflugslokal,,,Ausflugslokal,,padding-left:0px,BeerGarden,,,https://odta.io/voc/BeerGarden,,
depth-0,Bar,,,Bar,,padding-left:0px,CocktailBar,,,https://odta.io/voc/CocktailBar,,
depth-0,Berggasthof,,,Berggasthof,,padding-left:0px,AlmOrHut,,,https://odta.io/voc/AlmOrHut,,
depth-0,Biergarten,,,Biergarten,,padding-left:0px,BeerGarden,,,https://odta.io/voc/BeerGarden,,
depth-0,Bistro,,,Bistro,,padding-left:0px,Bistro,,,https://odta.io/voc/Bistro,,
depth-0,Brauerei,,,Brauereigaststätte,,padding-left:0px,,,,"Brewery,FoodEstablishment",,
depth-0,Cafe,,,Café,,padding-left:0px,,,,"CafeOrCoffeeShop,FoodEstablishment",,
depth-0,Disko,,,Disko,,padding-left:0px,CocktailBar,,,https://odta.io/voc/CocktailBar,,
depth-0,Eisdiele,,,Eisdiele/Eiscafé,,padding-left:0px,,,,"IceCreamShop,FoodEstablishment",,
depth-0,Eventrestaurant,,,Eventrestaurant,,padding-left:0px,,,,FoodEstablishment,,
depth-0,Fischlokal,,,Fischlokal,,padding-left:0px,,,,"Restaurant,FoodEstablishment",,
depth-0,Gasthof,,,Gasthof,,padding-left:0px,,,,"Restaurant,FoodEstablishment",,
depth-0,Gaststätte; Gaststätte (zeitw. geöffnet),,,Gaststätte,,padding-left:0px,,,,"Restaurant,FoodEstablishment",,
depth-0,Haubenlokal,,,Haubenlokal,,padding-left:0px,,,,"FoodEstablishment,Restaurant",,
depth-0,Heuriger,,,Heuriger,,padding-left:0px,SeasonalWineTavern,,,https://odta.io/voc/SeasonalWineTavern,,
depth-0,Imbiss,,,Imbiss,,padding-left:0px,,,,"FoodEstablishment,FastFoodRestaurant",,
depth-0,Jausenstation,,,Jausenstation,,padding-left:0px,AlmOrHut,,,https://odta.io/voc/AlmOrHut,,
depth-0,Kaffeehaus,,,Kaffeehaus,,padding-left:0px,,,,"FoodEstablishment,CafeOrCoffeeShop",,
depth-0,Käserei,,,Käserei,,padding-left:0px,,,,FoodEstablishment,,
depth-0,,,,Kochstudio,,padding-left:0px,,,,FoodEstablishment,,
depth-0,Nightlife,,,Nightlife,,padding-left:0px,,,,FoodEstablishment,,
depth-0,Pizzeria,,,Pizzeria,,padding-left:0px,,,,FoodEstablishment,,
depth-0,Kneipe; Pub,,,Pub/Kneipe,,padding-left:0px,,,,"Restaurant,FoodEstablishment",,
depth-0,Restaurant,,,Restaurant,,padding-left:0px,,,,"Restaurant,FoodEstablishment",,
depth-0,Schiffsgastronomie,,,Schiffsgastronomie,,padding-left:0px,,,,"Restaurant,FoodEstablishment",,
depth-0,Sennalpe,,,Sennalpe,,padding-left:0px,AlmOrHut,,,https://odta.io/voc/AlmOrHut,,
depth-0,Vereinsgaststätte,,,Vereinsgaststätte,,padding-left:0px,,,,"Restaurant,FoodEstablishment",,
depth-0,Weingut,,,Weingut,,padding-left:0px,WineBar,,,https://odta.io/voc/WineBar,,
depth-0,Vinothek,,,Weinstube/Vinothek,,padding-left:0px,WineBar,,,https://odta.io/voc/WineBar,,
