row_class,col1_text,col1_class,col1_style,col2_text,col2_class,col2_style,col3_text,col3_class,col3_style,col4_text,col4_class,col4_style
depth-0,,,,Aktiv & Natur,,padding-left:0px,,,,,,
depth-0,,,,Winterurlaub,,padding-left:0px,,,,,,
depth-0,,,,Radfahren,,padding-left:0px,,,,,,
depth-0,,,,Angebotsart,,padding-left:0px,,,,,,
depth-1,,,,Individual-Angebot,,padding-left:12px,,,,,,
depth-1,,,,Gruppen-Angebot/Familien-Angebot,,padding-left:12px,,,,,,
depth-0,,,,Spezialangebote,,padding-left:0px,,,,,,
depth-0,,,,Vitalurlaub,,padding-left:0px,,,,,,
depth-0,,,,Herbst,,padding-left:0px,,,,,,
depth-0,,,,Kulinarik,,padding-left:0px,,,,,,
depth-0,,,,Romantik,,padding-left:0px,,,,,,
depth-0,,,,Kulinarische Führungen,,padding-left:0px,,,,,,
depth-0,,,,Frühling,,padding-left:0px,,,,,,
depth-0,,,,Familienurlaub,,padding-left:0px,,,,,,
depth-0,,,,Motorrad,,padding-left:0px,,,,,,
depth-0,,,,Städte & Kultur,,padding-left:0px,,,,,,
depth-0,,,,Sommer,,padding-left:0px,,,,,,
depth-0,,,,Wandern,,padding-left:0px,,,,,,
depth-0,,,,Reiten,,padding-left:0px,,,,,,
depth-0,,,,Angeln,,padding-left:0px,,,,,,
depth-0,,,,Advent/Weihnachten,,padding-left:0px,,,,,,
depth-0,,,,Sport,,padding-left:0px,,,,,,
depth-0,,,,Wassersport,,padding-left:0px,,,,,,
depth-0,,,,Verleih,,padding-left:0px,,,,,,
depth-0,,,,Boote & Yachten,,padding-left:0px,,,,,,
depth-0,,,,Stehpaddeln,,padding-left:0px,,,,,,
depth-0,,,,Boots- & Schiffsfahrten,,padding-left:0px,,,,,,
depth-0,,,,Wakeboarden & Wasserski,,padding-left:0px,,,,,,
depth-0,,,,Ball- & Mannschaftssport,,padding-left:0px,,,,,,
depth-0,,,,Kanu- & Kajaktouren,,padding-left:0px,,,,,,
depth-0,,,,Fahrspaß,,padding-left:0px,,,,,,
depth-0,,,,Stadtrundfahrten,,padding-left:0px,,,,,,
depth-0,,,,Mit dem Oldtimer,,padding-left:0px,,,,,,
depth-0,,,,Workshops & Kurse,,padding-left:0px,,,,,,
depth-0,,,,Sonstige Kurse,,padding-left:0px,,,,,,
depth-0,,,,Fotografie & Film,,padding-left:0px,,,,,,
depth-0,,,,Motto-Touren,,padding-left:0px,,,,,,
depth-0,,,,Literatur-Touren,,padding-left:0px,,,,,,
depth-0,,,,Fahrräder,,padding-left:0px,,,,,,
depth-0,,,,Fitness & Kraftsport,,padding-left:0px,,,,,,
depth-0,,,,Yoga,,padding-left:0px,,,,,,
depth-0,,,,Ausflüge & Erlebnisse,,padding-left:0px,,,,,,
depth-0,,,,Führungen,,padding-left:0px,,,,,,
depth-0,,,,Schmalspurbahn,,padding-left:0px,,,,,,
depth-0,,,,Tagesfahrten,,padding-left:0px,,,,,,
depth-0,,,,Halbtagesfahrten,,padding-left:0px,,,,,,
depth-0,,,,Öffentliche Führung,,padding-left:0px,,,,,,
depth-0,,,,Wandern & Trekking,,padding-left:0px,,,,,,
depth-0,,,,geführte Wanderung,,padding-left:0px,,,,,,
depth-0,,,,Rad und Mountainbike,,padding-left:0px,,,,,,
depth-0,,,,geführte Touren,,padding-left:0px,,,,,,
depth-0,,,,Gruppen-Erlebnisse,,padding-left:0px,,,,,,
depth-1,,,,Gruppenführung,,padding-left:12px,,,,,,
depth-1,,,,Halbtagesprogrramm für Gruppen,,padding-left:12px,,,,,,
depth-1,,,,Tagesprogramm für Gruppen,,padding-left:12px,,,,,,
depth-0,,,,Familien-Erlebnisse,,padding-left:0px,,,,,,
depth-0,,,,Kinderspaß,,padding-left:0px,,,,,,
depth-0,,,,Erlebnis Wasser,,padding-left:0px,,,,,,
depth-0,,,,Gutscheine,,padding-left:0px,,,,,,
depth-0,,,,Eintrittskarten,,padding-left:0px,,,,,,
depth-1,,,,Eintrittskarten für Sehenswürdigkeiten,,padding-left:12px,,,,,,
depth-1,,,,"Zoo, Tierpark",,padding-left:12px,,,,,,
depth-1,,,,Museum,,padding-left:12px,,,,,,
depth-1,,,,Bergwerk,,padding-left:12px,,,,,,
depth-1,,,,Wassererlebnis,,padding-left:12px,,,,,,
depth-0,,,,Tickets,,padding-left:0px,,,,,,
depth-0,,,,Theater und Bühne,,padding-left:0px,,,,,,
depth-0,,,,Konzerte und Festivals,,padding-left:0px,,,,,,
depth-0,,,,City Card,,padding-left:0px,,,,,,
depth-0,,,,Bestseller,,padding-left:0px,,,,,,
depth-0,,,,Wellness und Vital,,padding-left:0px,,,,,,
depth-0,,,,Aktivitäten,,padding-left:0px,,,,,,
