row_class,col1_text,col1_class,col1_style,col2_text,col2_class,col2_style,col3_text,col3_class,col3_style,col4_text,col4_class,col4_style
depth-0 topcat,,,,Ausflugsziele,,padding-left:0px,,,,TouristAttraction,,
depth-1,Allee,,,Allee,,padding-left:12px,,,,Park,,
depth-1,Alpe,,,Alpe,,padding-left:12px,,,,LocalBusiness,,
depth-1,Archäologische Stätte,,,Archäologische Stätte,,padding-left:12px,,,,LandmarksOrHistoricalBuildings,,
depth-1,Architektur,,,Architektur,,padding-left:12px,,,,TouristAttraction,,
depth-1,Aussichtspunkt; Aussichtsturm,,,Aussichtspunkt/-turm,,padding-left:12px,Viewpoint,,,https://odta.io/voc/Viewpoint,,
depth-1,Bergbahn Bergstation; Bergbahn Mittelstation; Bergbahn Talstation; Skilift,,,Bergbahn/Lift,,padding-left:12px,,,,TrainStation,,
depth-1,Bergwerk,,,Besucherbergwerk,,padding-left:12px,ShowMine,,,https://odta.io/voc/CaveOrMine,,
depth-1,Bildstock,,,Bildstock,,padding-left:12px,,,,Place,,
depth-1,,,,Brauerei,,padding-left:12px,,,,Brewery,,
depth-1,Brunnen,,,Brunnen,,padding-left:12px,,,,Place,,
depth-1,Brücke,,,Brücke,,padding-left:12px,,,,"Bridge,LandmarksOrHistoricalBuildings",,
depth-1,Burg,,,Burg,,padding-left:12px,,,,TouristAttraction,,
depth-1,,,,Coworking Space,,padding-left:12px,CoworkingSpace,,,https://odta.io/voc/CoworkingSpace,,
depth-1,Denkmal,,,Denkmal,,padding-left:12px,,,,LandmarksOrHistoricalBuildings,,
depth-1,Eisenbahn,,,Eisen-/Schmalspurbahn,,padding-left:12px,,,,TrainStation,,
depth-1,,,,Escape Room,,padding-left:12px,,,,LocalBusiness,,
depth-1,,,,Event Location,,padding-left:12px,,,,EventVenue,,
depth-1,,,,Fabrikhalle,,padding-left:12px,,,,https://odta.io/voc/FactoryHallOrEngineShed,,
depth-1,Fachwerkhaus,,,Fachwerkhaus,,padding-left:12px,,,,LandmarksOrHistoricalBuildings,,
depth-1,,,,Ferienstraße,,padding-left:12px,,,,TouristAttraction,,
depth-1,Festung,,,Festung,,padding-left:12px,,,,https://odta.io/voc/CastleOrVilla,,
depth-1,Forsthaus,,,Forsthaus,,padding-left:12px,,,,Place,,
depth-1,,,,Freizeitbahn,,padding-left:12px,,,,"TouristAttraction,TrainStation",,
depth-1,Freizeitpark,,,Freizeitpark,,padding-left:12px,,,,AmusementPark,,
depth-1,Friedhof,,,Friedhof,,padding-left:12px,,,,LandmarksOrHistoricalBuildings,,
depth-1,Fußgängerzone,,,Fußgängerzone,,padding-left:12px,,,,CivicStructure,,
depth-1,Galerie; Kunst,,,Galerie,,padding-left:12px,,,,ArtGallery,,
depth-1,,,,Glashütte,,padding-left:12px,,,,LocalBusiness,,
depth-1,Gutshof,,,Gutshof,,padding-left:12px,,,,LocalBusiness,,
depth-1,Halde,,,Halde,,padding-left:12px,,,,Place,,
depth-1,,,,Historische Location,,padding-left:12px,,,,EventVenue,,
