row_class,col1_text,col1_class,col1_style,col2_text,col2_class,col2_style
,Alpinklettern,new,,Hinzugefügt,new,
,Bergtour,new,,Hinzugefügt,new,
,Eisklettern,new,,Hinzugefügt,new,
,Gravel-Bike,new,,Hinzugefügt,new,
,Hochtour,new,,Hinzugefügt,new,
,Jogging,new,,Hinzugefügt,new,
,Kutschfahrt,new,,Hinzugefügt,new,
,Offroad,new,,Hinzugefügt,new,
,Pferdeschlitten,new,,Hinzugefügt,new,
,SUP,new,,Hinzugefügt,new,
,Stadtrundgang,new,,Hinzugefügt,new,
,Trailrunning,new,,Hinzugefügt,new,
,Wohnmobil,new,,Hinzugefügt,new,
