row_class,col1_text,col1_class,col1_style,col2_text,col2_class,col2_style,col3_text,col3_class,col3_style,col4_text,col4_class,col4_style
,Alpinklettern,,,Alpinklettern,new,,AlpineClimbing,,,https://odta.io/voc/AlpineClimbingTrail,,
,,,,Barrierefrei,,,,,,,,
,Bergtour,,,Bergtour,new,,MountainTour,,,https://odta.io/voc/MountainTourTrail,,
,Bootstour,,,Bootstour,,,,,,https://odta.io/voc/WaterTrail,,
,E-Bike,,,E-Bike,,,BikeTour,,,https://odta.io/voc/BikeTourTrail,,
,Eisklettern,,,Eisklettern,new,,IceClimbing,,,https://odta.io/voc/IceClimbingTrail,,
,Fernradweg,,,Fernradweg,,,LongDistanceBikeTour,,,https://odta.io/voc/LongDistanceBikeTourTrail,,
,Fernwanderweg,,,Fernwanderweg,,,LongDistanceHikeTrail,,,https://odta.io/voc/LongDistanceHikeTrail,,
,Gravel-Bike,,,Gravel-Bike,new,,MountainBikeTour,,,https://odta.io/voc/MountainBikeTourTrail,,
,Hochtour,,,Hochtour,new,,HighAltitudeTour,,,https://odta.io/voc/HighAltitudeTourTrail,,
,Inline-Skating,,,Inline-Skating,,,InlineSkating,,,https://odta.io/voc/InlineSkatingTrail,,
,Jogging,,,Jogging,new,,Jogging,,,https://odta.io/voc/JoggingTrail,,
,Canyoning; Kajak,,,Kajak,,,Kayak,,,https://odta.io/voc/KayakTrail,,
,Kanu,,,Kanu,,,Canoe,,,https://odta.io/voc/CanoeTrail,,
,Klettersteig,,,Klettersteig,,,AlpineClimbing,,,https://odta.io/voc/AlpineClimbingTrail,,
,Kutschfahrt,,,Kutschfahrt,new,,,,,https://odta.io/voc/Trail,,
,Langlauf,,,Langlauf,,,AlpineTour,,,https://odta.io/voc/CrossCountrySkiingTrail,,
,MTB-Transalp,,,MTB-Transalp,,,MountainBikeTour,,,https://odta.io/voc/MountainBikeTourTrail,,
,Motorrad,,,Motorrad,,,Motorcycle,,,https://odta.io/voc/MotorcycleTrail,,
,Mountainbike,,,Mountainbike,,,MountainBikeTour,,,https://odta.io/voc/MountainBikeTourTrail,,
,Nordic Walking,,,Nordic Walking,,,NordicWalking,,,https://odta.io/voc/NordicWalkingTrail,,
,Offroad,,,Offroad,new,,Offroad,,,https://odta.io/voc/OffroadTrail,,
,Panoramastraße,,,Panoramastraße,,,Panorama,,,https://odta.io/voc/PanoramaTrail,,
,Pferdeschlitten,,,Pferdeschlitten,new,,HorseRiding,,,https://odta.io/voc/HorseDrawnSleighTrail,,
,Pilgerweg,,,Pilgerweg,,,PilgrimageTrail,,,https://odta.io/voc/PilgrimageTrail,,
,Qualitätswege,,,Qualitätswanderwege,,,HikeTrail,,,https://odta.io/voc/HikingTrail,,
,Radfahren; Radtour,,,Radfahren,,,BikeTour,,,https://odta.io/voc/BikeTourTrail,,
,Reiten,,,Reiten,,,HorseRiding,,,https://odta.io/voc/HorseTrail,,
,Rennrad,,,Rennrad,,,RacingBikeTour,,,https://odta.io/voc/RacingBikeTourTrail,,
,Rodeln,,,Rodeln,,,AlpineTour,,,https://odta.io/voc/WinterTobogganRun,,
,SUP,,,SUP,new,,SUP,,,https://odta.io/voc/SUPTrail,,
,Schneeschuh,,,Schneeschuh,,,AlpineTour,,,https://odta.io/voc/SnowShoeHikeTrail,,
,Ski-Freeride; Skidurchquerung; Skifahren; Skijöring; Skitour,,,Skitour,,,AlpineTour,,,https://odta.io/voc/SkiTourTrail,,
,Stadtrundgang,,,Stadtrundgang,new,,SightseeingTrail,,,https://odta.io/voc/SightseeingTrail,,
,Themenweg,,,Themenweg,,,ThematicTrail,,,https://odta.io/voc/ThematicTrail,,
,Trailrunning,,,Trailrunning,new,,TrailRunning,,,https://odta.io/voc/TrailRunning,,
,Wanderung,,,Wandern,,,HikeTrail,,,https://odta.io/voc/HikingTrail,,
,Winterwandern,,,Winterwandern,,,AlpineTour,,,https://odta.io/voc/WinterHikeTrail,,
,Wohnmobil,,,Wohnmobil,new,,,,,,,
