row_class,col1_text,col1_class,col1_style,col2_text,col2_class,col2_style,col3_text,col3_class,col3_style,col4_text,col4_class,col4_style
depth-0,Aparthotel,,,Aparthotel,,padding-left:0px,ApartmentHotel,,,https://odta.io/voc/ApartmentHotel,,
depth-0,,,,Appartement,,padding-left:0px,VacationApartment,,,https://odta.io/voc/VacationApartment,,
depth-0,Bauernhof,,,Bauernhof,,padding-left:0px,Farm,,,https://odta.io/voc/Farm,,
depth-0,,,,Bed & Breakfast,,padding-left:0px,Pension,,,https://odta.io/voc/Pension,,
depth-0,Wanderherberge,,,Berg-/Skihütte,,padding-left:0px,MountainHut,,,https://odta.io/voc/MountainHut,,
depth-0,,,,Boutique Hotel,,padding-left:0px,AllSuiteHotel,,,https://odta.io/voc/AllSuiteHotel,,
depth-0,,,,Business Hotel,,padding-left:0px,AllSuiteHotel,,,https://odta.io/voc/AllSuiteHotel,,
depth-0,Campingplatz,,,Campingplatz,,padding-left:0px,CamperPark,,,https://odta.io/voc/CamperPark,,
depth-0,,,,Designhotel,,padding-left:0px,AllSuiteHotel,,,https://odta.io/voc/AllSuiteHotel,,
depth-0,Ferienhaus,,,Ferienhaus,,padding-left:0px,VacationHome,,,https://odta.io/voc/VacationHome,,
depth-0,"Feriendorf, Ferienpark",,,Ferienpark,,padding-left:0px,TouristResort,,,https://odta.io/voc/TouristResort,,
depth-0,Ferienwohnung/Appartment,,,Ferienwohnung,,padding-left:0px,VacationApartment,,,https://odta.io/voc/VacationApartment,,
depth-0,Gasthof,,,Gasthof,,padding-left:0px,Pension,,,https://odta.io/voc/Pension,,
depth-0,,,,Gästehaus,,padding-left:0px,Pension,,,https://odta.io/voc/Pension,,
depth-0,,,,Golfhotel,,padding-left:0px,AllSuiteHotel,,,https://odta.io/voc/AllSuiteHotel,,
depth-0,,,,Grandhotel,,padding-left:0px,AllSuiteHotel,,,https://odta.io/voc/AllSuiteHotel,,
depth-0,,,,Hostel,,padding-left:0px,YouthHostel,,,https://odta.io/voc/YouthHostel,,
depth-0,"Hotel, Gruppenunterkunft",,,Hotel,,padding-left:0px,AllSuiteHotel,,,https://odta.io/voc/AllSuiteHotel,,
depth-0,Hotel Garni,,,Hotel garni,,padding-left:0px,HotelGarni,,,https://odta.io/voc/HotelGarni,,
depth-0,Jugendherberge,,,Jugendherberge,,padding-left:0px,YouthHostel,,,https://odta.io/voc/YouthHostel,,
depth-0,Klinik/Sanatorium,,,Kurklinik,,padding-left:0px,Sanatorium,,,https://odta.io/voc/Sanatorium,,
depth-0,Motel,,,Motel,,padding-left:0px,ApartmentHotel,,,https://odta.io/voc/ApartmentHotel,,
depth-0,"Frühstückspension, Pension",,,Pension,,padding-left:0px,Pension,,,https://odta.io/voc/Pension,,
depth-0,,,,Pension garni,,padding-left:0px,Pension,,,https://odta.io/voc/Pension,,
depth-0,Privatzimmer,,,Privatvermieter,,padding-left:0px,Pension,,,https://odta.io/voc/Pension,,
depth-0,,,,Sanatorium,,padding-left:0px,Sanatorium,,,https://odta.io/voc/Sanatorium,,
depth-0,,,,Schlosshotel,,padding-left:0px,AllSuiteHotel,,,https://odta.io/voc/AllSuiteHotel,,
depth-0 topcat,,,,Tagungskategorien,,padding-left:0px,,,,EventVenue,,
depth-1,,,,Agentur,,padding-left:12px,,,,EventVenue,,
depth-1,,,,Burg/Schloss,,padding-left:12px,,,,https://odta.io/voc/CastleOrVilla,,
depth-1,,,,Event Location,,padding-left:12px,,,,EventVenue,,
depth-1,,,,Hallen- / Kurgastzentrum,,padding-left:12px,,,,EventVenue,,
depth-1,,,,Historische Location,,padding-left:12px,,,,EventVenue,,
depth-1,,,,Industriekultur,,padding-left:12px,,,,https://odta.io/voc/FactoryHallOrEngineShed,,
depth-1,,,,Kino,,padding-left:12px,,,,https://odta.io/voc/Theater,,
depth-1,,,,Kirche,,padding-left:12px,,,,EventVenue,,
depth-1,,,,Konzertsaal,,padding-left:12px,,,,https://odta.io/voc/ConcertHall,,
depth-1,,,,Messe,,padding-left:12px,,,,https://odta.io/voc/TradeFairOrExhibitionVenue,,
depth-1,,,,Mobilitätspartner,,padding-left:12px,,,,EventVenue,,
depth-1,,,,Moderne Location,,padding-left:12px,,,,EventVenue,,
depth-1,,,,Museum/Galerie,,padding-left:12px,,,,"EventVenue,Museum",,
depth-1,,,,Open Air Location,,padding-left:12px,,,,https://odta.io/voc/OpenAirStage,,
depth-1,,,,Special Location,,padding-left:12px,,,,EventVenue,,
depth-1,,,,Sportstätte,,padding-left:12px,,,,https://odta.io/voc/Arena,,
depth-1,,,,Tagungshotel,,padding-left:12px,,,,EventVenue,,
depth-1,,,,Tagungs-/Kongresszentrum,,padding-left:12px,,,,https://odta.io/voc/CongressCenter,,
depth-1,,,,Tagungs- / Seminarhaus,,padding-left:12px,,,,https://odta.io/voc/CongressCenter,,
depth-1,,,,Tourismusorganisation/Convention Bureau,,padding-left:12px,,,,https://odta.io/voc/CoworkingSpace,,
depth-1,,,,Universität/Hochschule,,padding-left:12px,,,,EventVenue,,
depth-0,Wohnmobil Stellplatz,,,Wohnmobilstellplatz,,padding-left:0px,CamperPark,,,LodgingBusiness,,
